name,pdg_id,charge,mass_mev,mass_err_mev,width_mev,width_err_mev,is_stable,nf,mass_calc_mev,error_pct,factorization,residual_p,is_3_smooth,quarks,I,J,P,C,configuracion,familia,categoria
pi+,211,+,139.57038999999997,0.00017999999999999998,2.5284e-14,4.9999999999999996e-18,1,273,139.5027122853,0.048490023349495925,2^0 · 3^1 · 91,91,False,u|d,1,0,-1,,"L=0, S=0",meson_pseudoscalar,PSEUDOSCALAR
pi0,111,0,134.9768,0.0005,7.81e-06,1.2e-07,0,264,134.90372177039998,0.054141326213107965,2^3 · 3^1 · 11,11,False,u|d,1,0,-1,1,"L=0, S=0",meson_pseudoscalar,PSEUDOSCALAR
eta0,221,0,547.862,0.017,0.00131,4.9999999999999996e-05,0,1072,547.7908702192,0.012983156488311411,2^4 · 3^0 · 67,67,False,u|d|s,0,0,-1,1,"L=0, S=0",meson_pseudoscalar,PSEUDOSCALAR
f(0)(500)0,9000221,0,600.0,200.0,450.0,350.0,0,1174,599.9127627214,0.014539546433335696,2^1 · 3^0 · 587,587,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
rho(770)0,113,0,775.26,0.23,147.4,0.8,0,1517,775.1854012337,0.00962241909811261,1517,1517,False,u|d,1,1,-1,1,"L=0, S=1",meson_vector,VECTOR
rho(770)+,213,+,775.11,0.34,149.10000000000002,0.8,0,1517,775.1854012337,0.009727810723632702,1517,1517,False,u|d,1,1,-1,,"L=0, S=1",meson_vector,VECTOR
omega(782)0,223,0,782.66,0.12999999999999998,8.68,0.12999999999999998,0,1532,782.8503854252,0.02432543188613448,2^2 · 3^0 · 383,383,False,u|d,0,1,-1,-1,"L=0, S=1",meson_vector,VECTOR
eta'(958)0,331,0,957.78,0.060000000000000005,0.188,0.006,0,1874,957.6120249914,0.01753795324605066,2^1 · 3^0 · 937,937,False,u|d|s,0,0,-1,1,"L=0, S=0",meson_pseudoscalar,PSEUDOSCALAR
f(0)(980)0,9010221,0,990.0,20.0,60.0,50.0,0,1937,989.8049585956999,0.019701151949507816,1937,1937,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
a(0)(980)0,9000111,0,980.0,20.0,75.0,25.0,0,1918,980.0959786197999,0.009793736714274873,2^1 · 3^0 · 959,959,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
a(0)(980)+,9000211,+,980.0,20.0,75.0,25.0,0,1918,980.0959786197999,0.009793736714274873,2^1 · 3^0 · 959,959,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
phi(1020)0,333,0,1019.46,0.016,4.2490000000000006,0.013,0,1995,1019.4428974694999,0.0016776068212677978,2^0 · 3^1 · 665,665,False,s|s,0,1,-1,-1,"L=0, S=1",meson_vector,VECTOR
h(1)(1170)0,10223,0,1166.0,6.0,375.0,35.0,0,2282,1166.0995950002,0.008541595214407996,2^1 · 3^0 · 1141,1141,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
b(1)(1235)0,10113,0,1229.5,3.2,142.0,9.0,0,2406,1229.4634643165998,0.0029715887271401908,2^1 · 3^1 · 401,401,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
b(1)(1235)+,10213,+,1229.5,3.2,142.0,9.0,0,2406,1229.4634643165998,0.0029715887271401908,2^1 · 3^1 · 401,401,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
a(1)(1260)0,20113,0,1230.0,40.0,420.0,180.0,0,2407,1229.9744632626998,0.002076157504079009,2407,2407,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
a(1)(1260)+,20213,+,1230.0,40.0,420.0,180.0,0,2407,1229.9744632626998,0.002076157504079009,2407,2407,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
f(2)(1270)0,225,0,1275.4,0.8,186.6,2.8,0,2496,1275.4533694656,0.004184527646218562,2^6 · 3^1 · 13,13,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
f(1)(1285)0,20223,0,1281.8,0.5,23.0,1.0,0,2508,1281.5853568188,0.01674545024184876,2^2 · 3^1 · 209,209,False,compuesto,?,?,?,,Excited,resonance,RESONANCE
eta(1295)0,100221,0,1294.0,4.0,55.0,5.0,0,2532,1293.8493315252,0.011643622472960856,2^2 · 3^1 · 211,211,False,u|d|s,0,0,-1,1,"L=0, S=0",meson_pseudoscalar,PSEUDOSCALAR
pi(1300)0,100111,0,1300.0,100.0,400.0,200.0,0,2544,1299.9813188783999,0.0014370093538568305,2^4 · 3^1 · 53,53,False,u|d,1,0,-1,1,"L=0, S=0",meson_pseudoscalar,PSEUDOSCALAR
